LOINC_NUM,COMPONENT
16133-1,Legionella pneumophila Ab.IgM
16134-9,Neisseria meningitidis
16135-6,Beta 2 glycoprotein 1 Ab.IgG
16136-4,Beta 2 glycoprotein 1 Ab.IgM
16137-2,Centromere Ab
16138-0,Ganglioside GM1 Ab.IgA
1613-9,Prolactin^2H post dose L-Dopa PO
16139-8,Neuronal nuclear Ab
16140-6,Tellurium
16141-4,Nitrogen
16142-2,Fat
16143-0,Butane
16144-8,Droperidol
16145-5,Mescaline
16146-3,Psilocin
1614-7,Prolactin^30M post dose TRH IV
16147-1,Aldosterone^3rd specimen post XXX challenge
16148-9,Aldosterone^4th specimen post XXX challenge
16149-7,Aldosterone^5th specimen post XXX challenge
16150-5,Carboxy tetrahydrocannabinol
16151-3,Dechlorane
16152-1,Gastrin^2nd specimen post XXX challenge
16153-9,Gastrin^3rd specimen post XXX challenge
1615-4,Prolactin^30M post dose insulin IV
16154-7,Gastrin^4th specimen post XXX challenge
16155-4,Gastrin^5th specimen post XXX challenge
16156-2,Gastrin^6th specimen post XXX challenge
16157-0,Gastrin^7th specimen post XXX challenge
16158-8,Gastrin^8th specimen post XXX challenge
16159-6,Gastrin^9th specimen post XXX challenge
16160-4,Gastrin^10th specimen post XXX challenge
16161-2,Gastrin^post XXX challenge
1616-2,Prolactin^30M post dose U/kg insulin IV
16162-0,Parathyrin.intact^30M post XXX challenge
16163-8,Parathyrin.intact^1H post XXX challenge
16164-6,Parathyrin.intact^2H post XXX challenge
16165-3,Glucose^10 AM specimen
16166-1,Glucose^11 AM specimen
16167-9,Glucose^2 PM specimen
16168-7,Glucose^3 PM specimen
16169-5,Glucose^4 PM specimen
1617-0,Prolactin^3H post dose L-Dopa PO
16170-3,Glucose^5 PM specimen
16171-1,Cocaethylene
16172-9,Magnesium
16173-7,Amyl ether
16174-5,Bartonella henselae Ab.IgG
16175-2,Bartonella henselae Ab.IgM
16176-0,Bartonella quintana Ab.IgG
16177-8,Bartonella quintana Ab.IgM
16178-6,Beryllium
16179-4,Polychlorinated biphenyl
16180-2,Zinc
16181-0,Tricyclic antidepressants
16182-8,Alkaline phosphatase isoenzymes
16183-6,Phenolphthalein
16184-4,Temazepam
16185-1,chlordiazePOXIDE
16186-9,Hydroxyalprazolam
16187-7,ALPRAZolam
1618-8,Prolactin^45M post dose insulin IV
16188-5,Creatinine^2H specimen
16189-3,Creatinine^4H specimen
16190-1,Amobarbital
16191-9,Butabarbital
16192-7,PHENobarbital
16193-5,PENTobarbital
16194-3,Secobarbital
16195-0,Benzodiazepines
1619-6,Prolactin^pre dose L-dopa PO
16196-8,Morphine
16197-6,Codeine
16198-4,Diamorphine
16199-2,Methadone
16200-8,Propoxyphene
16201-6,Oxazepam
16202-4,Nordiazepam
16203-2,ALPRAZolam
1620-4,Prolactin^pre dose TRH IV
16204-0,clonazePAM
16205-7,LORazepam
16206-5,Temazepam
16207-3,Meperidine
16208-1,Buprenorphine
16209-9,Chlorpheniramine
16210-7,Diethylpropion
16211-5,Dihydrocodeine
1621-2,Prolactin^pre dose insulin IV
16212-3,Ethylamphetamine
16213-1,Levorphanol
16214-9,Lysergate diethylamide
16215-6,Mephobarbital
16216-4,MethylePHEDrine
16217-2,Methyprylon
16218-0,Nalbuphine
16219-8,Pentazocine
1622-0,Renin^5H post 600 ug furosemide PO
16220-6,Phenmetrazine
16221-4,Phenothiazines
16222-2,Phentermine
16223-0,Thiopental
16224-8,Triazolam
16225-5,Amitriptyline
16226-3,Benzoylecgonine
16227-1,diazePAM
16228-9,Nordiazepam
16229-7,clonazePAM
16230-5,N-desalkylflurazepam
16231-3,Flurazepam
16232-1,Triazolam
16233-9,Midazolam
16234-7,Amphetamine
16235-4,Methamphetamine
16236-2,Butabarbital
16237-0,Butalbital
1623-8,Renin^pre 600 ug furosemide PO
16238-8,Secobarbital
16239-6,Amobarbital
16240-4,PENTobarbital
16241-2,PHENobarbital
16242-0,Propoxyphene
16243-8,Cannabinoids
16244-6,Methaqualone
16245-3,Hydroxyethylflurazepam
1624-6,Retinol^3H post 5000 units
16246-1,Methadone
16247-9,Dextromethorphan
16248-7,6-Monoacetylmorphine.free
16249-5,oxyCODONE
16250-3,Codeine
16251-1,Morphine
16252-9,HYDROcodone
1625-3,Retinol^6H post 5000 units
16253-7,Meperidine
16254-5,Phencyclidine
16255-2,Troponin I.cardiac
16257-8,Sodium urate crystals
16258-6,Ammonium urate crystals
16259-4,Urate dihydrate crystals
16260-2,Triamterene crystals
1626-1,Retinol^pre 5000 units
16261-0,Calcium bilirubinate crystals
16262-8,Newberyite crystals
16263-6,Calcium oxalate dihydrate crystals
16264-4,Calcium oxalate monohydrate crystals
16265-1,Triple phosphate crystals
16266-9,Calcium hydrogen phosphate crystals
16267-7,Calcium carbonate crystals
16268-5,Calcium phosphate crystals
16269-3,Urate crystals
16270-1,Calcium^1H post XXX challenge
16271-9,Calcium^30M post XXX challenge
16272-7,Calcium^2H post XXX challenge
16273-5,Calcium
16274-3,Cells.CD4/Cells.C4
16275-0,Bartonella sp DNA
16276-8,Bartonella henselae DNA
16277-6,Bartonella quintana DNA
16278-4,Mycobacterium tuberculosis DNA
1627-9,Somatotropin^1.5H post dose insulin IV
16279-2,Toxoplasma gondii DNA
162-8,Cephalothin
16280-0,Human papilloma virus DNA
16281-8,traZODone
16282-6,Acetaminophen
16283-4,Escherichia coli verotoxin
16284-2,Polio virus Ab
16285-9,Creatinine/Protein
16286-7,Testosterone.free/Testosterone.total
1628-7,Somatotropin^1H post 1 g/kg glucose PO
16287-5,Sulfatide Ab
16288-3,Monosialoganglioside GM1 Ab.IgG+IgM
16289-1,Monosialoganglioside GM1 Ab
16290-9,Neutrophils
16291-7,Herpes simplex virus 1
16292-5,"1,4-Dioxane"
16293-3,11-Deoxycorticosteroids
16294-1,11-Deoxycorticosterone^post XXX challenge
1629-5,Somatotropin^1H post dose insulin IV
16295-8,11-Deoxycortisol^post XXX challenge
16296-6,11-Hydroxyandrosterone
16297-4,17-Hydroxypregnenolone
16298-2,17-Hydroxypregnenolone^45M post XXX challenge
16299-0,17-Hydroxypregnenolone^6H post XXX challenge
16300-6,17-Ketogenic steroids
16301-4,17-Ketogenic steroids^baseline
16302-2,1-Methylhistidine
1630-3,Somatotropin^2H post 1 g/kg glucose PO
16303-0,2-Hexanol
16304-8,2-Hexanol/Creatinine
16305-5,2-Methoxyethanol
16306-3,3-Methylhistidine
16307-1,Acetate
16308-9,acetaZOLAMIDE
16309-7,acetaZOLAMIDE
16310-5,Acetone
1631-1,Somatotropin^30M post dose insulin IV
16311-3,Acetone
16312-1,Acetonitrile
16313-9,Acetylene
16314-7,Acetylsalicylate
16315-4,Acid phosphatase
16316-2,Acid phosphatase.tartrate resistant
16317-0,Acid phosphatase.prostatic
16318-8,Acrylamide
16319-6,Acrylamide
16320-4,Acyclovir
16321-2,Acyl carnitine
16322-0,Biperiden
16323-8,Alanine
16324-6,Alanine aminotransferase
16325-3,Alanine aminotransferase/Aspartate aminotransferase
16327-9,Allyl alcohol
16328-7,Benzyl alcohol
1632-9,Somatotropin^3H post 1 g/kg glucose PO
16329-5,Aldosterone^6th specimen post XXX challenge
16330-3,Aldosterone^7th specimen post XXX challenge
16331-1,Aldosterone^8th specimen post XXX challenge
16332-9,Aldosterone^9th specimen post XXX challenge
16333-7,Aldrin
16334-5,Alfentanil
16335-2,Hydrocarbons.aliphatic
16336-0,Alkaline phosphatase.placental
1633-7,Somatotropin^45M post dose insulin IV
16337-8,Alkaline phosphatase
16338-6,Alpha aminoadipate
16339-4,Alpha aminoisobutyrate
16340-2,Alpha aminoisobutyrate
16341-0,Alpha aminoisobutyrate
16342-8,Alpha aminoisobutyrate
16343-6,Alpha aminoisobutyrate
16344-4,Alpha aminoisobutyrate
1634-5,Somatotropin^52H post 250 ug L-Dopa TID 2day PO
16345-1,Alpha aminobutyrate
16346-9,Alpha chlordane
16347-7,Alpha chlordane
16348-5,Alpha hydroxyalprazolam
16349-3,Aluminum
16350-1,Amantadine
16351-9,aMILoride
1635-2,Somatotropin^pre 1 g/kg glucose PO
16352-7,aMILoride
16353-5,Amino beta guanidinopropionate
16354-3,Amino beta guanidinopropionate
16355-0,Amino beta guanidinopropionate
16356-8,Amino beta guanidinopropionate
16357-6,Amino beta guanidinopropionate
16358-4,Amino beta guanidinopropionate
16359-2,Amiodarone+Desethylamiodarone
163-6,Cephalothin
1636-0,Somatotropin^pre 250 ug L-Dopa TID 2day PO
16360-0,Amitriptyline^peak
16361-8,Amitriptyline^trough
16362-6,Ammonia
16363-4,Ammonia
16364-2,Amobarbital
16365-9,Amoxicillin+Clavulanate
16366-7,Diethylpropion
16367-5,Amphetamine/Methamphetamine
16369-1,Amphetamines
16370-9,Amphotericin B
16373-3,Amyl ether
16374-1,Amyl nitrite
1637-8,Somatotropin^pre dose insulin IV
16378-2,Androstenedione^2nd specimen post XXX challenge
16379-0,Androstenedione^3rd specimen post XXX challenge
16380-8,Androstenedione^4th specimen post XXX challenge
16381-6,Androstenedione^5th specimen post XXX challenge
16382-4,Androstenedione^6th specimen post XXX challenge
16383-2,Androstenedione^7th specimen post XXX challenge
16384-0,Androstenedione^8th specimen post XXX challenge
16385-7,Androstenedione^9th specimen post XXX challenge
1638-6,Testosterone^96H post 5000 U HCG IM
16386-5,Rifabutin
16387-3,Rifabutin+Ethambutol
16388-1,Anticonvulsants
16389-9,Antidepressants
16390-7,Antidiuretics
16391-5,Antimony
16392-3,Nuclear Ab
16393-1,Nuclear Ab
1639-4,Testosterone^pre 5000 U HCG IM
16394-9,Nuclear Ab
16395-6,Antipsychotics
16400-4,Appearance
16401-2,Arginine
1640-2,Thyrotropin^30M post dose TRH IV
16402-0,Aromatic solvents
16403-8,Arsenic
16404-6,Arsenic
16405-3,Arylamidase
16406-1,Arylamidase
16407-9,Asbestos identified
16408-7,Ascorbate
16409-5,Ascorbate^post dose
1641-0,Thyrotropin^1H post dose TRH IV
16410-3,Asparagine
16411-1,Aspartate
16412-9,Aspartate aminotransferase
16414-5,Aspergillus amstelodami Ab
16415-2,Aspergillus flavus Ab
16416-0,Aspergillus terreus Ab
16417-8,Aspergillus versicolor Ab
16418-6,Azatadine
16419-4,azaTHIOprine
16420-2,Azithromycin
16421-0,Azithromycin+Ethambutol
16422-8,Azlocillin
16423-6,Aztreonam
16424-4,Salicylazosulfapyridine
16425-1,Babesia sp Ab.IgM
16426-9,Babesia sp Ab.IgM
16427-7,Babesia microti Ab
1642-8,Thyrotropin^baseline
16428-5,Bacitracin
16429-3,Barbiturates
16430-1,Barbiturates
16431-9,Barium
16432-7,Barium
16433-5,Basement membrane Ab
16434-3,Basement membrane Ab
16435-0,Bean white Ab.IgE
1643-6,Thyrotropin^pre dose TRH IV
16436-8,Bean wax Ab.IgE
16437-6,Bendroflumethiazide
16438-4,Benzaldehyde
16439-2,Benzene
164-4,Cephapirin
16440-0,Benzene ring Ab.IgE
16441-8,Benzene ring Ab.IgG
16442-6,Benzene ring Ab.IgM
16443-4,Benzonatate
1644-4,Triglyceride^post 12H CFst
16444-2,Benzophenone
16446-7,Benzoylecgonine
16447-5,Cocaine
16448-3,Cocaine
16449-1,Benzthiazide
16450-9,Benzylhydrazine
1645-1,Xylose^2H post 25 g xylose PO
16451-7,Beryllium
16452-5,Beta alanine
16453-3,Beta aminoisobutyrate
16454-1,Beta galactosidase
16455-8,Beta hydroxybutyrate
16456-6,Beta hydroxybutyrate
16457-4,Beta-N-acetylhexosaminidase.A
16458-2,Bethanechol
16459-0,Bicarbonate
16460-8,Bicarbonate
16461-6,Bicarbonate
16462-4,Bicarbonate
16463-2,Bile acid.dihydroxy
16464-0,Bile acid
16465-7,Bile acid
16466-5,Bile acid.trihydroxy
16467-3,Bismuth
16468-1,Bismuth
1646-9,Xylose^post dose PO
16469-9,Bismuth/Creatinine
16470-7,Blastomyces dermatitidis Ab
16471-5,Blastomyces dermatitidis Ab
16472-3,Blastomyces dermatitidis rRNA
16473-1,Bordetella parapertussis Ab
16474-9,Bordetella pertussis Ab
16475-6,Borrelia burgdorferi Ab
16476-4,Borrelia burgdorferi Ab
1647-7,Tuberculosis reaction wheal^3D post 25 TU ID
16477-2,Borrelia burgdorferi Ab
16478-0,Borrelia burgdorferi Ab.IgA
16479-8,Borrelia burgdorferi Ab.IgA
16480-6,Borrelia burgdorferi Ab.IgG
16481-4,Borrelia burgdorferi Ab.IgG
16482-2,Borrelia burgdorferi Ab.IgM
16483-0,Borrelia hermsii
16484-8,Boysenberry Ab.IgE
1648-5,Tuberculosis reaction wheal^3D post 5 TU ID
16485-5,Bromodiphenhydramine
16486-3,Brucella abortus Ab.IgA+IgG+IgM
16487-1,Brucella abortus Ab.IgG
16488-9,Brucella abortus Ab.IgG
16489-7,Brucella melitensis Ab
16490-5,Brucella suis Ab
16491-3,Brush border Ab
16492-1,Bufotenine
1649-3,Calcitriol
16493-9,Bufotenine
16494-7,Bumetanide
16495-4,Buprenorphine
16496-2,Buprenorphine
16497-0,Butabarbital
16498-8,Butalbital
16499-6,Butorphanol
16500-1,Butyrate
1650-1,"1,4-Alpha glucan branching enzyme"
16501-9,C peptide^7th specimen post XXX challenge
16502-7,C peptide^8th specimen post XXX challenge
16503-5,C reactive protein
16504-3,Calcitonin^1.5M post XXX challenge
16505-0,Calcitonin^10M post XXX challenge
16506-8,Calcitonin^3H post XXX challenge
16507-6,Calcitonin^4H post XXX challenge
16508-4,Calcitonin^5M post XXX challenge
16509-2,Calcitonin^7th specimen post XXX challenge
165-1,Cephapirin
16510-0,Calcitonin^8th specimen post XXX challenge
16511-8,Calcitonin^9th specimen post XXX challenge
16512-6,Calcium.ionized^2nd specimen post XXX challenge
16513-4,Calcium.ionized^3rd specimen post XXX challenge
16514-2,Calcium.ionized^4th specimen post XXX challenge
16515-9,Calcium.ionized^5th specimen post XXX challenge
16516-7,Calcium.ionized^6th specimen post XXX challenge
16517-5,Calcium.ionized^7th specimen post XXX challenge
16518-3,Calcium
1651-9,1-Methylhistidine
16519-1,Calcium^10M post XXX challenge
16520-9,Calcium^2nd specimen post XXX challenge
16521-7,Calcium^3rd specimen post XXX challenge
16522-5,Calcium^4th specimen post XXX challenge
16523-3,Calcium^5M post XXX challenge
16524-1,Calcium^6H post XXX challenge
16525-8,Calcium/Phosphate
16526-6,Calcium/Protein
1652-7,1-Methylhistidine
16527-4,Calcium/Sodium
16528-2,Campylobacter coli rRNA
16529-0,Campylobacter jejuni rRNA
16530-8,Campylobacter jejuni rRNA
16531-6,Campylobacter lari rRNA
16532-4,Campylobacter lari rRNA
16533-2,Helicobacter pylori Ab
16534-0,Campylobacter sp rRNA
1653-5,1-Methylhistidine
16535-7,Canary droppings Ab.IgE
16536-5,Canary serum proteins Ab
16537-3,Candida albicans Ab
16538-1,Candida sp Ab.IgA
16539-9,Candida sp Ag
16540-7,Cannabinoids
16542-3,Cannabinoids
1654-3,1-Naphthalene
16543-1,Cannabinoids
16544-9,Canrenone
16545-6,Capreomycin
16546-4,Captopril
16547-2,Carbamate pesticides
16548-0,carBAMazepine
16549-8,Carbinoxamine
1655-0,11-Deoxy/11-Oxy steroids
16550-6,Carbohydrates
16551-4,Carbon dioxide
16553-0,Carnitine
16555-5,Carnitine
16556-3,Carnitine
16557-1,Carnosine
16558-9,Catecholamines^2H post XXX challenge
16559-7,Catecholamines^3H post XXX challenge
16560-5,Catecholamines^5th specimen post XXX challenge
16561-3,Catecholamines^6th specimen post XXX challenge
16562-1,Cathartic laxatives
16563-9,Cathepsin D
16564-7,Cefaclor
16565-4,Cefadroxil
16566-2,ceFAZolin
16567-0,Cefixime
1656-8,11-Deoxycorticosterone
16568-8,Cefuroxime Ab.IgE
16569-6,cefTRIAXone Ab.IgE
16570-4,Centromere Ab
16571-2,Cephadrine
16572-0,Cephaloridine
16573-8,Cerebroside sulfatase
16574-6,Cerebroside sulfatase
16575-3,Cerebroside sulfatase B
1657-6,11-Deoxycortisol
16576-1,Cerebroside sulfatase B
16577-9,Cerebroside sulfatase B
16578-7,Cerebroside sulfatase B
16579-5,Cerebroside sulfatase B
16580-3,Cerebroside sulfatase B
16581-1,Chlamydophila pneumoniae Ab.IgA
16582-9,Chlamydophila pneumoniae Ab.IgG
16583-7,Chlamydophila pneumoniae Ab.IgM
1658-4,11-Hydroxyandrostenedione
16584-5,Chlamydophila pneumoniae rRNA
16585-2,Chlamydophila pneumoniae rRNA
16586-0,Chlamydophila psittaci Ab.IgA
16587-8,Chlamydophila psittaci Ab.IgG
16588-6,Chlamydophila psittaci Ab.IgM
16589-4,Chlamydia sp Ab
16590-2,Chlamydia sp Ab
16591-0,Chlamydia sp Ab.IgG
1659-2,11-Hydroxyandrosterone
16592-8,Chlamydia sp Ab.IgM
16593-6,Chlamydia sp Ag
16594-4,Chlamydia trachomatis Ab.IgA
16595-1,Chlamydia trachomatis Ab.IgG
16596-9,Chlamydia trachomatis Ab.IgM
16597-7,Chlamydia trachomatis B Ab.IgG
16598-5,Chlamydia trachomatis C Ab.IgG
16599-3,Chlamydia trachomatis DNA
16-Jun,Amoxicillin
1660-0,11-Hydroxyetiocholanolone
16600-9,Chlamydia trachomatis rRNA
16601-7,Chlamydia trachomatis rRNA
16602-5,Chlamydia trachomatis rRNA
16603-3,Chloramphenicol^peak
16604-1,Chloramphenicol^trough
16605-8,Chlorocycline
16606-6,Chlorine
16607-4,Chlorine
16608-2,Chlorpheniramine
16609-0,Chlorphentermine
16610-8,Chlorphentermine
16611-6,Chlorpyrifos
16612-4,Chlorthalidone
16613-2,Cholesterol crystals
16614-0,Cholesterol crystals
16615-7,Cholesterol.total/Cholesterol.in LDL
16616-5,Cholesterol.in HDL/Cholesterol.in LDL
16617-3,Choriogonadotropin.intact
1661-8,11-Ketoandrosterone
16618-1,Cladosporium herbarum Ab
16619-9,Clarithromycin
16620-7,Clarithromycin+Ethambutol
16621-5,Clindamycin^peak
16622-3,Clindamycin^trough
16623-1,Clofazimine
16624-9,clomiPRAMINE
16625-6,clomiPRAMINE
1662-6,11-Ketoetiocholanolone
16626-4,Clostridium tetani Ab^1st specimen
16627-2,Clostridium tetani Ab^2nd specimen
16628-0,Cloxacillin
16629-8,Coagulation surface induced
16630-6,Coagulation surface induced
16631-4,Coagulation surface induced
16632-2,Cocaethylene
16633-0,Cocaine
1663-4,11-Oxycorticosterone
16634-8,Coccidioides immitis Ab
16635-5,Coccidioides immitis Ab.IgA
16636-3,Coccidioides immitis Ab.IgA
16637-1,Coccidioides immitis Ab.IgE
16638-9,Coccidioides immitis Ab.IgG
16639-7,Coccidioides immitis Ab.IgM
16640-5,Coccidioides reaction wheal
16641-3,Cockatiel droppings Ab
1664-2,17-Hydroxycorticosteroids
16642-1,Cockatiel droppings Ab.IgG
16643-9,Cockatoo droppings Ab
16644-7,Codeine.free
16645-4,Colistin
16647-0,Collagen Ab
16648-8,Copper
16649-6,Coproporphyrinogen oxidase
16650-4,Coriandrum sativum Ab.IgE
16651-2,Corticosterone^post XXX challenge
16652-0,Corticotropin
16653-8,Corticotropin.canine
16654-6,Corticotropin^1.5H post XXX challenge
16655-3,Corticotropin^10M post XXX challenge
16656-1,Corticotropin^15M post XXX challenge
16657-9,Corticotropin^1H post XXX challenge
16658-7,Corticotropin^1M post XXX challenge
1665-9,17-Hydroxycorticosteroids
16659-5,Corticotropin^2.5H post XXX challenge
16660-3,Corticotropin^20M post XXX challenge
16661-1,Corticotropin^2H post XXX challenge
16662-9,Corticotropin^30M post XXX challenge
16663-7,Corticotropin^3H post XXX challenge
16664-5,Corticotropin^45M post XXX challenge
16665-2,Corticotropin^5M post XXX challenge
16666-0,Corticotropin^9th specimen post XXX challenge
1666-7,17-Hydroxycorticosteroids
16667-8,Cortisol.free
16668-6,Cortisol.free
16669-4,Cortisol^10M post XXX challenge
16670-2,Cortisol^15M post XXX challenge
16671-0,Cortisol^1M post XXX challenge
16672-8,Cortisol^40M post XXX challenge
16673-6,Cortisol^50M post XXX challenge
16674-4,Cortisol^70M post XXX challenge
1667-5,17-Hydroxyketosteroids
16675-1,Cortisol^80M post XXX challenge
16676-9,Corynebacterium diphtheriae
16677-7,Coxiella burnetii Ab.IgG
16678-5,Coxiella burnetii Ab.IgM
16679-3,Coxsackievirus A Ab
16680-1,Coxsackievirus A Ab.IgG
16681-9,Coxsackievirus A Ab.IgM
16682-7,Coxsackievirus A2 Ab
1668-3,17-Hydroxyprogesterone
16683-5,Coxsackievirus A4 Ab
16684-3,Coxsackievirus B Ab
16685-0,Coxsackievirus B Ab.IgG
16686-8,Coxsackievirus B Ab.IgM
16687-6,Creatine
16688-4,Creatine kinase
16689-2,Creatinine
166-9,Cephapirin
16690-0,Creatinine
1669-1,17-Hydroxyprogesterone
16691-8,Cresols
16692-6,Cryptococcus sp Ag
16693-4,Cryptococcus sp Ag
16694-2,Cumene
16695-9,Cobalamins
16696-7,Cobalamins^post XXX challenge
16697-5,Cyclohexane
16698-3,Cyclohexanol
16699-1,Cyclohexanol
16700-7,Cyclohexanol/Creatinine
16701-5,Cyclopropane
16702-3,cycloSERINE
16703-1,cycloSPORINE
16704-9,Cyproheptadine
16705-6,Cystathionine
16706-4,Taenia solium larva Ab.IgM
16707-2,Taenia solium larva Ab.IgM
16708-0,Taenia solium larva Ab
1670-9,17-Hydroxyprogesterone
16709-8,Cystine
16710-6,Cystine crystals
16711-4,Cystine+Homocystine
16712-2,Cytomegalovirus Ab
16713-0,Cytomegalovirus Ab
16714-8,Cytomegalovirus Ab
16715-5,Cytomegalovirus Ab.IgG
16716-3,Cytomegalovirus Ab.IgG^2nd specimen
1671-7,17-Ketogenic steroids
16717-1,Cytomegalovirus Ag
16718-9,Cytomegalovirus Ag
16719-7,Cytomegalovirus inclusion bodies
16720-5,Dechlorane
16721-3,Dehydroepiandrosterone sulfate
16722-1,Dehydroepiandrosterone sulfate^10th specimen post XXX challenge
16723-9,Dehydroepiandrosterone sulfate^2nd specimen post XXX challenge
16724-7,Dehydroepiandrosterone sulfate^3rd specimen post XXX challenge
1672-5,17-Ketogenic steroids
16725-4,Dehydroepiandrosterone sulfate^4th specimen post XXX challenge
16726-2,Dehydroepiandrosterone sulfate^5th specimen post XXX challenge
16727-0,Dehydroepiandrosterone sulfate^6th specimen post XXX challenge
16728-8,Dehydroepiandrosterone sulfate^7th specimen post XXX challenge
16729-6,Dehydroepiandrosterone sulfate^8th specimen post XXX challenge
16730-4,Dehydroepiandrosterone sulfate^9th specimen post XXX challenge
16731-2,Dehydroepiandrosterone.unconjugated
16732-0,Dehydroepiandrosterone^7th specimen post XXX challenge
1673-3,17-Ketogenic steroids
16733-8,Dehydroepiandrosterone^9th specimen post XXX challenge
16734-6,Dehydroepiandrosterone^baseline
16735-3,Dehydroepiandrosterone^post XXX challenge
16736-1,Dengue virus 1 Ab
16737-9,Dengue virus 2 Ab
16738-7,Dengue virus 3 Ab
16739-5,Dengue virus 4 Ab
16740-3,Dengue virus Ab
1674-1,18-Hydroxycorticosterone
16741-1,Dermatophagoides farinae Ab.IgG
16742-9,Dermatophagoides pteronyssinus Ab.IgG
16743-7,Nordiazepam
16744-5,Nordiazepam
16745-2,Desmethylmethsuximide
16746-0,Nortrimipramine
16747-8,Dextromoramide
16748-6,Propoxyphene
16749-4,Propoxyphene+Norpropoxyphene
16750-2,Dezocine
16751-0,Dezocine
16752-8,Diacetate
16753-6,Dialtrazene
16754-4,Diamorphine
16755-1,Diamorphine
16756-9,Diamorphine
16757-7,Diazepam+Nordiazepam
1675-8,"2,3-Diphosphoglycerate"
16758-5,Dicamba
16759-3,Dicamba
16760-1,Dicarboxylporphyrin
16761-9,Protoporphyrin
16762-7,Dichlorobenzene
16763-5,Dichlorodiphenyldichloroethylene
16764-3,Dichlorodiphenyldichloroethylene
16765-0,Dichlorodiphenyltrichloroethane
1676-6,"2,3-Diphosphoglycerate"
16766-8,Dichloroethane
16767-6,"2,4-Dichlorophenoxyacetate"
16768-4,Dichlorvos
16769-2,Dicloxacillin
167-7,Cephapirin
16770-0,Dicoumarol
16771-8,Dicyclomine
16772-6,Dieldrin
16773-4,Dieldrin
1677-4,Alpha hydroxybutyrate dehydrogenase
16774-2,Diethylcarbamazepine
16775-9,Dihydrocodeine.free
16776-7,dilTIAZem
16777-5,Dimethylacetamide
16778-3,Dinitrophenol
16779-1,Dinitrophenol
16780-9,Disopyramide
16781-7,Disulfiram
1678-2,20-Hydroxyprogesterone
16782-5,DNA double strand Ab
16784-1,DOPamine^2nd specimen post XXX challenge
16785-8,DOPamine^3rd specimen post XXX challenge
16786-6,DOPamine^4th specimen post XXX challenge
16787-4,DOPamine^5th specimen post XXX challenge
16788-2,DOPamine^6th specimen post XXX challenge
16789-0,DOPamine^7th specimen post XXX challenge
1679-0,24r-Hydroxycalcidiol
16790-8,Doxepin+Desmethyldoxepin
16791-6,Doxylamine
16792-4,Doxylamine
16793-2,Drugs identified
16794-0,Echinococcus sp Ab.IgM
16795-7,Echovirus Ab
16796-5,Echovirus Ab
16797-3,Echovirus 1 Ab
16798-1,Echovirus 14 Ab
16799-9,Echovirus 140 Ab
16800-5,Echovirus 19 Ab
16801-3,Echovirus 3 Ab
16802-1,Echovirus 30 Ab
16803-9,Echovirus 4 Ab
16804-7,Echovirus 40 Ab
16805-4,Echovirus 6 Ab
16806-2,Echovirus 6+18+30 Ab
16807-0,Echovirus 9 Ab
1680-8,3-Alpha-Androstanediol glucuronide
16808-8,Anaplasma phagocytophilum Ab.IgG
16809-6,Anaplasma phagocytophilum Ab.IgM
16811-2,Arachidate
16812-0,Emetine
16813-8,Emetine
16814-6,Endomysium Ab
16815-3,Endomysium Ab
1681-6,Beta hydroxybutyrate dehydrogenase
16816-1,Enoxacin
16817-9,Entamoeba histolytica Ab
16818-7,Entamoeba histolytica Ab
16819-5,Entamoeba histolytica Ab
16820-3,Entamoeba histolytica Ab
16821-1,EPINEPHrine^4H post XXX challenge
16822-9,Epithelial cells
16823-7,Epstein Barr virus early Ab
1682-4,Beta hydroxybutyrate dehydrogenase
16824-5,Epstein Barr virus nuclear Ab
16825-2,Epstein Barr virus nuclear Ab.IgG
16826-0,Epstein Barr virus capsid Ab.IgG
16827-8,Epstein Barr virus capsid Ab.IgG
16828-6,Erythrocytes
16829-4,Erythromycin
16830-2,Erythromycin+Ethambutol
1683-2,3-Hydroxyisovalerate
16832-8,Escherichia coli enterotoxic identified
16833-6,Escherichia coli K1 Ag
16834-4,Escherichia coli K1 Ag
16835-1,Escherichia coli shiga-like toxin identified
16836-9,Escherichia coli verotoxic identified
16838-5,Estriol
1684-0,3-Methoxy-4-Hydroxyphenylglycol
16840-1,Ethacrynate
16841-9,Ethambutol+rifAMPin
16842-7,Ethanol
16843-5,Ethanol
16844-3,Ethinamate
16845-0,Ethionamide
16847-6,Ethoheptazine
16848-4,Ethoheptazine
16849-2,Ethyl benzene
168-5,Cephradine
16850-0,Ethylene oxide
16851-8,Ethylmorphine
16852-6,Etodolac
16853-4,Fat
16855-9,Fat
16856-7,Fat.microscopic observation
1685-7,3-Methylhistidine
16857-5,Fenclorvos
16858-3,fentaNYL
16859-1,Fibrinogen
16860-9,Fibrinopeptide A Ag
16861-7,Fibrinopeptide A Ag
16862-5,Fibrinopeptide B Ag
16863-3,Fibrinopeptide B beta (1-14) Ag
16864-1,Fibrinopeptide B beta (1-42) Ag
1686-5,3-Methylhistidine
16865-8,Fibrinopeptide B beta (15-42) Ag
16866-6,Fibrinopeptide B beta (43-47) Ag
16867-4,Fibronectin aggregate Ab.IgG
16868-2,Finch droppings Ab.IgE
16869-0,Flubiprofen
16870-8,Fluconazole
16871-6,Fluoride
16872-4,Fluorocarbons
1687-3,3-Methylhistidine
16873-2,Follitropin^105M post XXX challenge
